当前为第1条语料。
沙 B-LOC
3 O
) O
位 O
于 O
矿 O
区 O
南 O
部 O
外 O
围 O
, O
岩 O
性 O
为 O
千 O
枚 O
状 O
砂 O
岩 O
夹 O
砂 O
岩 O
。 O
﻿

当前为第10条语料，且该条语料无标注实体。
矿 O
区 O
位 O
于 O
洛 O
坝 O
背 O
斜 O
核 O
部 O
及 O
北 O
翼 O
, O
该 O
背 O
斜 O
为 O
吴 O
家 O
山 O
复 O
背 O
斜 O
次 O
级 O
褶 O
曲 O
, O
是 O
矿 O
区 O
唯 O
一 O
的 O
控 O
矿 O
皱 O
曲 O
, O
轴 O
线 O
呈 O
北 O
东 O
东 O
— O
— O
— O
南 O
西 O
西 O
向 O
, O
并 O
朝 O
西 O
端 O
以 O
小 O
角 O
度 O
( O
5 O
° O
— O
1 O
0 O
° O
) O
倾 O
伏 O
, O
轴 O
面 O
上 O
部 O
向 O
北 O
中 O
等 O
倾 O
斜 O
( O
4 O
0 O
° O
— O
6 O
0 O
° O
) O
, O
下 O
部 O
近 O
于 O
直 O
立 O
, O
背 O
斜 O
近 O
核 O
部 O
以 O
微 O
晶 O
灰 O
岩 O
、 O
石 O
英 O
岩 O
为 O
主 O
, O
产 O
状 O
近 O
于 O
水 O
平 O
, O
倾 O
角 O
5 O
° O
— O
1 O
0 O
° O
, O
两 O
翼 O
岩 O
性 O
一 O
致 O
, O
但 O
对 O
称 O
性 O
较 O
差 O
, O
则 O
以 O
千 O
枚 O
岩 O
类 O
为 O
主 O
, O
北 O
翼 O
由 O
于 O
断 O
层 O
迭 O
加 O
作 O
用 O
, O
背 O
斜 O
中 O
段 O
抬 O
升 O
隆 O
起 O
露 O
出 O
核 O
部 O
岩 O
性 O
灰 O
岩 O
, O
倾 O
角 O
5 O
0 O
° O
— O
6 O
5 O
° O
。 O
﻿

当前为第11条语料，且该条语料无标注实体。
背 O
斜 O
向 O
东 O
西 O
两 O
端 O
缓 O
慢 O
倾 O
伏 O
, O
含 O
矿 O
层 O
( O
D O
2 O
2 O
X O
h O
6 O
3 O
- O
1 O
b O
) O
因 O
受 O
其 O
影 O
响 O
随 O
之 O
同 O
步 O
延 O
深 O
。 O
﻿

当前为第12条语料，且该条语料无标注实体。
矿 O
区 O
内 O
断 O
裂 O
构 O
造 O
发 O
育 O
, O
以 O
近 O
东 O
西 O
向 O
为 O
主 O
, O
北 O
北 O
东 O
向 O
次 O
之 O
, O
近 O
东 O
西 O
向 O
断 O
裂 O
构 O
造 O
规 O
模 O
较 O
大 O
的 O
有 O
二 O
条 O
, O
为 O
区 O
域 O
性 O
大 O
断 O
裂 O
( O
F O
1 O
、 O
F O
2 O
) O
, O
F O
2 O
是 O
黄 O
渚 O
关 O
断 O
裂 O
F O
1 O
的 O
分 O
枝 O
断 O
裂 O
, O
二 O
者 O
呈 O
南 O
北 O
相 O
挟 O
之 O
势 O
, O
再 O
迭 O
加 O
后 O
期 O
不 O
同 O
规 O
模 O
的 O
大 O
小 O
断 O
层 O
, O
共 O
同 O
构 O
成 O
区 O
内 O
的 O
控 O
矿 O
构 O
造 O
和 O
容 O
矿 O
构 O
造 O
。 O
﻿

当前为第13条语料，且该条语料无标注实体。
在 O
某 O
些 O
区 O
段 O
北 O
东 O
向 O
断 O
层 O
迭 O
加 O
, O
使 O
含 O
矿 O
层 O
和 O
矿 O
体 O
形 O
态 O
复 O
杂 O
, O
矿 O
体 O
产 O
状 O
变 O
化 O
急 O
剧 O
。 O
﻿

当前为第14条语料，且该条语料无标注实体。
矿 O
区 O
位 O
于 O
糜 O
署 O
岭 O
岩 O
体 O
的 O
南 O
东 O
端 O
外 O
接 O
触 O
带 O
上 O
, O
岩 O
体 O
为 O
印 O
支 O
期 O
花 O
岗 O
闪 O
长 O
岩 O
基 O
, O
岩 O
石 O
呈 O
灰 O
白 O
— O
— O
— O
肉 O
红 O
色 O
, O
似 O
斑 O
状 O
结 O
构 O
, O
中 O
粒 O
块 O
状 O
构 O
造 O
。 O
﻿

当前为第15条语料。
斑 O
晶 O
主 O
要 O
呈 O
肉 O
红 O
色 O
正 O
长 O
石 O
和 O
白 O
色 O
斜 O
长 O
石 O
, O
基 O
质 O
为 O
斜 O
长 O
石 O
、 O
钾 O
长 O
石 O
、 O
石 O
英 O
、 O
黑 O
云 O
母 O
、 O
角 O
闪 O
石 O
, O
副 O
矿 O
物 O
有 O
锆 O
石 O
、 O
磷 O
灰 O
岩 O
、 O
榍 O
石 O
、 O
磁 O
铁 O
矿 O
、 O
独 O
居 O
石 O
、 O
褐 O
帘 O
石 O
等 O
。 O
区 O
内 O
岩 O
脉 O
不 O
发 O
育 O
, O
仅 O
在 O
沙 B-LOC
沟 I-LOC
金 B-MT
矿 I-MT
Ⅰ B-MB
号 I-MB
矿 I-MB
体 I-MB
C O
M O
— O
2 O
坑 O
道 O
内 O
见 O
到 O
闪 O
长 O
岩 O
脉 O
, O
与 O
金 O
矿 O
化 O
关 O
系 O
不 O
明 O
。 O
沙 B-LOC
沟 I-LOC
金 B-MT
矿 I-MT
的 O
所 O
有 O
金 O
矿 O
化 O
点 O
、 O
金 O
矿 O
化 O
体 O
均 O
产 O
于 O
洛 O
坝 O
背 O
斜 O
核 O
部 O
及 O
北 O
翼 O
的 O
层 O
间 O
构 O
造 O
破 O
碎 O
带 O
内 O
, O
含 O
矿 O
围 O
岩 O
为 O
中 O
泥 O
盆 O
统 O
西 O
汉 O
水 O
组 O
第 O
六 O
岩 O
性 O
段 O
第 O
三 O
层 O
第 O
一 O
亚 O
层 O
第 O
二 O
小 O
层 O
( O
D O
2 O
2 O
X O
h O
6 O
3 O
- O
1 O
b O
) O
石 O
英 O
岩 O
石 O
英 O
岩 O
中 O
微 O
量 O
元 O
素 O
A O
g O
、 O
A O
S O
、 O
S O
b O
、 O
H O
g O
、 O
G O
e O
等 O
元 O
素 O
的 O
含 O
量 O
均 O
高 O
出 O
相 O
应 O
元 O
素 O
地 O
壳 O
克 O
拉 O
克 O
值 O
1 O
— O
4 O
个 O
数 O
量 O
级 O
见 O
表 O
1 O
。 O
﻿

当前为第16条语料。
层 O
间 O
构 O
造 O
普 O
遍 O
经 O
历 O
了 O
多 O
期 O
次 O
构 O
造 O
活 O
动 O
, O
热 O
液 O
蚀 O
变 O
及 O
金 O
矿 O
化 O
发 O
育 O
, O
层 O
间 O
破 O
碎 O
带 O
膨 O
大 O
部 O
位 O
容 O
易 O
见 O
到 O
工 O
业 O
矿 O
体 O
, O
产 O
出 O
标 O
高 O
均 O
在 O
1 O
3 O
6 O
5 O
— O
1 O
0 O
0 O
0 O
m O
, O
走 O
向 O
2 O
7 O
0 O
° O
— O
2 O
8 O
5 O
° O
, O
倾 O
角 O
5 O
° O
— O
4 O
5 O
° O
。 O
1 O
0 O
0 O
0 O
m O
中 O
段 O
以 O
下 O
层 O
间 O
破 O
碎 O
带 O
产 O
状 O
急 O
剧 O
变 O
陡 O
未 O
发 O
现 O
金 O
矿 O
体 O
和 O
金 O
矿 O
化 O
点 O
。 O
沙 B-LOC
沟 I-LOC
金 B-MT
矿 I-MT
共 O
发 O
现 O
金 B-MT
矿 I-MT
体 I-MT
3 O
个 O
, O
其 O
中 O
Ⅰ B-MB
号 I-MB
矿 I-MB
体 I-MB
分 O
布 O
在 O
洛 O
坝 O
背 O
斜 O
褶 O
曲 O
核 O
部 O
, O
Ⅱ B-MB
、 O
Ⅲ B-MB
号 I-MB
矿 I-MB
体 I-MB
分 O
布 O
在 O
洛 O
坝 O
背 O
斜 O
褶 O
曲 O
北 O
翼 O
( O
见 O
图 O
2 O
) O
。 O
﻿

当前为第17条语料。
! B-MB
号 I-MB
金 B-MT
矿 I-MT
体 I-MT
位 O
于 O
3 O
号 O
勘 O
探 O
线 O
至 O
9 O
号 O
勘 O
探 O
线 O
， O
赋 O
存 O
标 O
高 O
1 O
3 O
0 O
0 O
— O
1 O
3 O
6 O
5 O
m O
, O
矿 O
体 O
产 O
状 O
与 O
褶 B-GO
曲 I-GO
核 I-GO
部 I-GO
产 O
状 O
一 O
致 O
近 O
水 O
平 O
展 O
布 O
, O
呈 O
厚 O
层 O
状 O
产 O
出 O
, O
长 O
1 O
7 O
0 O
m O
, O
厚 O
度 O
2 O
2 O
— O
2 O
8 O
m O
, O
平 O
均 O
2 O
5 O
m O
, O
厚 O
度 O
变 O
化 O
系 O
数 O
7 O
3 O
% O
, O
属 O
厚 O
度 O
较 O
稳 O
定 O
矿 O
体 O
, O
矿 O
体 O
品 O
位 O
1 O
. O
1 O
9 O
× O
1 O
0 O
- O
6 O
— O
1 O
6 O
. O
7 O
× O
1 O
0 O
- O
6 O
, O
平 O
均 O
品 O
位 O
3 O
. O
7 O
1 O
× O
1 O
0 O
- O
6 O
, O
品 O
位 O
变 O
化 O
系 O
数 O
9 O
1 O
. O
1 O
% O
, O
属 O
较 O
均 O
匀 O
类 O
型 O
, O
Ⅱ B-MB
、 O
Ⅲ B-MB
号 I-MB
金 B-MT
矿 I-MT
体 I-MT
位 O
于 O
5 O
— O
1 O
1 O
线 O
二 O
者 O
平 O
行 O
并 O
列 O
展 O
布 O
, O
矿 O
体 O
产 O
状 O
上 O
部 O
缓 O
, O
深 O
部 O
陡 O
, O
长 O
1 O
1 O
0 O
— O
1 O
4 O
0 O
m O
, O
厚 O
6 O
— O
1 O
0 O
. O
5 O
m O
, O
矿 O
体 O
平 O
均 O
品 O
位 O
3 O
. O
3 O
2 O
× O
1 O
0 O
- O
6 O
和 O
7 O
. O
0 O
2 O
× O
1 O
0 O
- O
6 O
, O
单 O
样 O
最 O
高 O
品 O
位 O
4 O
8 O
. O
2 O
× O
1 O
0 O
- O
6 O
。 O
Ⅰ B-MB
、 I-MB
Ⅱ I-MB
、 I-MB
Ⅲ I-MB
号 I-MB
矿 I-MB
体 I-MB
受 O
东 O
西 O
向 O
层 O
间 O
构 O
造 O
破 O
碎 O
带 O
控 O
制 O
, O
含 O
矿 O
岩 O
石 O
为 O
碎 O
裂 O
石 O
英 O
岩 O
, O
矿 O
体 O
围 O
岩 O
菱 O
铁 O
矿 O
化 O
发 O
育 O
, O
褐 O
铁 O
矿 O
次 O
之 O
。 O
矿 O
体 O
与 O
围 O
岩 O
为 O
渐 O
变 O
关 O
系 O
。 O
﻿

当前为第18条语料，且该条语料无标注实体。
矿 O
石 O
矿 O
物 O
组 O
份 O
简 O
单 O
, O
金 O
属 O
矿 O
物 O
有 O
闪 O
锌 O
矿 O
、 O
方 O
铅 O
矿 O
、 O
黄 O
铁 O
矿 O
和 O
微 O
量 O
白 O
铁 O
矿 O
、 O
毒 O
砂 O
、 O
黄 O
铜 O
矿 O
、 O
黝 O
铜 O
矿 O
、 O
硫 O
锑 O
铅 O
矿 O
等 O
, O
未 O
见 O
自 O
然 O
金 O
, O
脉 O
石 O
矿 O
物 O
有 O
石 O
英 O
、 O
菱 O
铁 O
矿 O
、 O
铁 O
白 O
云 O
石 O
、 O
方 O
解 O
石 O
及 O
少 O
量 O
绢 O
云 O
母 O
、 O
炭 O
质 O
、 O
微 O
量 O
萤 O
石 O
等 O
。 O
﻿

当前为第19条语料，且该条语料无标注实体。
矿 O
石 O
结 O
构 O
主 O
要 O
为 O
自 O
形 O
— O
— O
— O
半 O
自 O
形 O
细 O
粒 O
结 O
构 O
, O
次 O
为 O
交 O
代 O
结 O
构 O
、 O
交 O
代 O
残 O
余 O
结 O
构 O
, O
交 O
代 O
假 O
象 O
结 O
构 O
, O
碎 O
裂 O
结 O
构 O
, O
矿 O
石 O
构 O
造 O
为 O
细 O
脉 O
浸 O
染 O
状 O
构 O
造 O
, O
块 O
状 O
构 O
造 O
, O
蜂 O
窝 O
状 O
构 O
造 O
。 O
﻿

当前为第20条语料，且该条语料无标注实体。
矿 O
石 O
类 O
型 O
比 O
较 O
单 O
一 O
, O
根 O
据 O
矿 O
石 O
矿 O
物 O
及 O
含 O
金 O
岩 O
石 O
构 O
造 O
特 O
征 O
, O
定 O
为 O
构 O
造 O
破 O
碎 O
含 O
铁 O
石 O
英 O
岩 O
型 O
。 O
﻿

当前为第21条语料，且该条语料无标注实体。
矿 O
石 O
化 O
学 O
成 O
分 O
复 O
杂 O
, O
主 O
要 O
元 O
素 O
有 O
金 O
、 O
银 O
、 O
锌 O
、 O
铅 O
, O
根 O
据 O
二 O
一 O
三 O
大 O
队 O
测 O
试 O
中 O
心 O
定 O
量 O
分 O
析 O
, O
其 O
伴 O
生 O
元 O
素 O
及 O
有 O
害 O
组 O
份 O
见 O
表 O
2 O
。 O
﻿

当前为第22条语料，且该条语料无标注实体。
金 O
的 O
赋 O
存 O
状 O
态 O
有 O
两 O
种 O
, O
一 O
是 O
呈 O
类 O
质 O
同 O
象 O
赋 O
存 O
在 O
方 O
铅 O
矿 O
中 O
, O
另 O
一 O
种 O
呈 O
显 O
微 O
状 O
的 O
银 O
金 O
黝 O
铜 O
矿 O
独 O
立 O
矿 O
物 O
包 O
体 O
分 O
布 O
在 O
方 O
铅 O
矿 O
中 O
, O
包 O
体 O
甚 O
小 O
0 O
. O
0 O
1 O
— O
0 O
. O
1 O
m O
m O
, O
方 O
铅 O
矿 O
单 O
矿 O
物 O
平 O
均 O
含 O
金 O
9 O
. O
6 O
5 O
× O
1 O
0 O
- O
6 O
, O
最 O
高 O
7 O
4 O
× O
1 O
0 O
- O
6 O
, O
另 O
有 O
少 O
量 O
金 O
赋 O
存 O
在 O
闪 O
锌 O
矿 O
、 O
黄 O
铁 O
矿 O
中 O
。 O
﻿

当前为第23条语料，且该条语料无标注实体。
镉 O
、 O
锗 O
主 O
要 O
以 O
类 O
质 O
同 O
象 O
赋 O
存 O
在 O
闪 O
锌 O
矿 O
中 O
, O
经 O
单 O
矿 O
物 O
分 O
析 O
含 O
量 O
为 O
2 O
. O
9 O
6 O
3 O
% O
, O
锗 O
0 O
. O
0 O
0 O
3 O
% O
, O
均 O
未 O
发 O
现 O
独 O
立 O
矿 O
物 O
。 O
﻿

当前为第24条语料。
矿 O
体 O
围 O
岩 O
蚀 O
变 O
发 O
育 O
, O
蚀 O
变 O
种 O
类 O
繁 O
多 O
, O
主 O
要 O
有 O
硅 O
化 O
、 O
铁 O
白 O
云 O
石 O
化 O
、 O
菱 O
铁 O
矿 O
化 O
和 O
方 O
解 O
石 O
化 O
、 O
萤 O
石 O
化 O
, O
金 O
属 O
矿 O
化 O
主 O
要 O
有 O
方 O
铅 O
矿 O
化 O
、 O
闪 O
锌 O
矿 O
化 O
, O
次 O
为 O
黄 O
铁 O
矿 O
化 O
、 O
褐 O
铁 O
矿 O
化 O
, O
与 O
金 O
矿 O
最 O
为 O
密 O
切 O
的 O
为 O
硅 O
化 O
、 O
菱 O
铁 O
矿 O
化 O
。 O
沙 B-LOC
沟 I-LOC
金 B-MT
矿 I-MT
产 O
于 O
中 O
泥 O
盆 O
统 O
西 O
汉 O
水 O
组 O
区 O
域 O
变 O
质 O
岩 O
系 O
内 O
, O
甘 O
肃 O
省 O
核 O
地 O
质 O
局 O
二 O
一 O
三 O
大 O
队 O
2 O
0 O
0 O
2 O
年 O
度 O
测 O
定 O
原 O
始 O
金 O
平 O
均 O
含 O
量 O
为 O
1 O
5 O
. O
5 O
× O
1 O
0 O
- O
9 O
, O
同 O
时 O
认 O
定 O
西 O
汉 O
水 O
组 O
第 O
六 O
岩 O
性 O
段 O
( O
D O
2 O
2 O
X O
h O
6 O
) O
的 O
金 O
为 O
易 O
释 O
放 O
金 O
。 O
在 O
漫 O
长 O
的 O
地 O
质 O
历 O
史 O
演 O
化 O
中 O
, O
强 O
烈 O
的 O
区 O
域 O
变 O
质 O
作 O
用 O
及 O
后 O
期 O
的 O
岩 O
浆 O
活 O
动 O
影 O
响 O
下 O
, O
被 O
多 O
次 O
活 O
化 O
、 O
转 O
移 O
, O
在 O
有 O
利 O
的 O
地 O
质 O
条 O
件 O
下 O
聚 O
集 O
成 O
矿 O
。 O
﻿

当前为第25条语料。
西 O
汉 O
水 O
组 O
第 O
六 O
岩 O
性 O
段 O
的 O
石 O
英 O
岩 O
是 O
沙 B-LOC
沟 I-LOC
金 B-MT
矿 I-MT
的 O
赋 O
矿 O
岩 O
石 O
, O
几 O
乎 O
所 O
有 O
矿 O
体 O
、 O
矿 O
化 O
点 O
都 O
在 O
石 O
英 O
岩 O
中 O
, O
且 O
大 O
多 O
数 O
发 O
育 O
在 O
千 O
枚 O
岩 O
与 O
石 O
英 O
岩 O
接 O
触 O
的 O
石 O
英 O
岩 O
一 O
侧 O
, O
次 O
为 O
石 O
英 O
岩 O
内 O
部 O
。 O
含 O
矿 O
石 O
英 O
岩 O
按 O
矿 O
物 O
成 O
分 O
和 O
结 O
构 O
构 O
造 O
特 O
征 O
不 O
同 O
可 O
划 O
分 O
为 O
三 O
种 O
, O
黑 O
灰 O
色 O
柱 O
粒 O
状 O
石 O
英 O
岩 O
、 O
碎 O
裂 O
状 O
菱 O
铁 O
矿 O
石 O
英 O
岩 O
、 O
微 O
粒 O
石 O
英 O
岩 O
。 O
金 O
矿 O
化 O
均 O
与 O
后 O
两 O
种 O
岩 O
石 O
类 O
型 O
有 O
关 O
。 O
﻿

当前为第26条语料，且该条语料无标注实体。
综 O
上 O
本 O
人 O
认 O
为 O
中 O
泥 O
盆 O
统 O
西 O
汉 O
水 O
组 O
是 O
本 O
区 O
的 O
主 O
要 O
矿 O
源 O
层 O
, O
西 O
汉 O
水 O
组 O
第 O
六 O
岩 O
性 O
段 O
为 O
金 O
的 O
赋 O
存 O
层 O
位 O
, O
碎 O
裂 O
状 O
菱 O
铁 O
矿 O
石 O
英 O
岩 O
和 O
微 O
粒 O
石 O
英 O
岩 O
是 O
矿 O
区 O
含 O
矿 O
岩 O
石 O
。 O
﻿

当前为第27条语料，且该条语料无标注实体。
成 O
矿 O
前 O
矿 O
区 O
北 O
部 O
有 O
黄 O
渚 O
关 O
大 O
断 O
裂 O
F O
1 O
通 O
过 O
, O
且 O
断 O
裂 O
使 O
两 O
侧 O
岩 O
层 O
或 O
岩 O
石 O
被 O
挤 O
压 O
成 O
大 O
小 O
不 O
等 O
扁 O
豆 O
或 O
不 O
规 O
则 O
糜 O
棱 O
质 O
角 O
砾 O
具 O
定 O
向 O
排 O
列 O
, O
受 O
热 O
接 O
触 O
变 O
质 O
作 O
用 O
影 O
响 O
, O
破 O
碎 O
带 O
内 O
夹 O
杂 O
有 O
角 O
岩 O
化 O
及 O
片 O
岩 O
类 O
岩 O
石 O
, O
受 O
强 O
烈 O
白 O
云 O
石 O
化 O
及 O
炭 O
化 O
使 O
角 O
砾 O
具 O
有 O
乌 O
亮 O
镜 O
面 O
, O
多 O
期 O
次 O
的 O
构 O
造 O
活 O
动 O
从 O
而 O
为 O
矿 O
质 O
迁 O
移 O
和 O
热 O
液 O
运 O
移 O
提 O
供 O
了 O
通 O
道 O
, O
是 O
矿 O
区 O
主 O
要 O
的 O
导 O
矿 O
构 O
造 O
。 O
﻿

当前为第28条语料，且该条语料无标注实体。
成 O
矿 O
早 O
期 O
区 O
域 O
处 O
于 O
南 O
北 O
方 O
向 O
和 O
垂 O
向 O
的 O
拉 O
张 O
状 O
态 O
, O
在 O
洛 O
坝 O
背 O
斜 O
形 O
成 O
的 O
同 O
时 O
形 O
成 O
了 O
层 O
间 O
构 O
造 O
破 O
碎 O
带 O
, O
形 O
成 O
了 O
局 O
部 O
的 O
膨 O
胀 O
空 O
间 O
, O
使 O
含 O
矿 O
热 O
液 O
受 O
挤 O
压 O
迁 O
移 O
到 O
这 O
些 O
次 O
级 O
的 O
相 O
对 O
开 O
放 O
的 O
张 O
性 O
断 O
裂 O
中 O
形 O
成 O
金 O
矿 O
体 O
并 O
迭 O
加 O
了 O
石 O
英 O
脉 O
、 O
碳 O
酸 O
盐 O
脉 O
。 O
﻿

当前为第29条语料，且该条语料无标注实体。
成 O
矿 O
晚 O
期 O
区 O
域 O
主 O
应 O
力 O
均 O
以 O
近 O
南 O
北 O
拉 O
张 O
为 O
主 O
, O
洛 O
坝 O
背 O
斜 O
内 O
的 O
层 O
间 O
构 O
造 O
表 O
现 O
为 O
张 O
扭 O
性 O
, O
且 O
沿 O
一 O
定 O
张 O
扭 O
性 O
小 O
裂 O
隙 O
叠 O
加 O
碳 O
酸 O
盐 O
细 O
脉 O
, O
该 O
期 O
矿 O
化 O
较 O
弱 O
, O
对 O
层 O
间 O
构 O
造 O
断 O
裂 O
而 O
言 O
从 O
成 O
矿 O
前 O
至 O
成 O
矿 O
期 O
先 O
后 O
经 O
历 O
了 O
压 O
性 O
— O
— O
— O
张 O
性 O
相 O
互 O
转 O
化 O
的 O
多 O
期 O
活 O
动 O
, O
因 O
而 O
活 O
动 O
其 O
中 O
的 O
含 O
矿 O
热 O
液 O
也 O
在 O
有 O
利 O
部 O
位 O
发 O
生 O
矿 O
质 O
富 O
集 O
沉 O
淀 O
形 O
成 O
了 O
工 O
业 O
矿 O
体 O
。 O
﻿

当前为第30条语料，且该条语料无标注实体。
成 O
矿 O
后 O
的 O
断 O
裂 O
活 O
动 O
以 O
南 O
北 O
向 O
断 O
裂 O
发 O
育 O
为 O
特 O
征 O
, O
多 O
充 O
填 O
萤 O
石 O
脉 O
、 O
方 O
解 O
