当前为第1条语料。
黑 B-MB
、 O
绿 O
帘 O
石 O
化 O
、 O
绢 O
云 O
母 O
化 O
、 O
碳 O
酸 O
盐 O
化 O
。 O
﻿

当前为第12条语料，且该条语料无标注实体。
硅 O
化 O
与 O
成 O
矿 O
作 O
用 O
关 O
系 O
密 O
切 O
。 O
﻿

当前为第13条语料，且该条语料无标注实体。
主 O
矿 O
体 O
呈 O
脉 O
状 O
沿 O
北 O
西 O
向 O
张 O
裂 O
隙 O
分 O
布 O
, O
倾 O
向 O
N O
E O
, O
倾 O
角 O
6 O
0 O
° O
左 O
右 O
, O
矿 O
体 O
向 O
深 O
部 O
呈 O
变 O
薄 O
趋 O
势 O
。 O
﻿

当前为第14条语料，且该条语料无标注实体。
矿 O
区 O
内 O
发 O
育 O
一 O
些 O
流 O
纹 O
斑 O
岩 O
、 O
闪 O
长 O
玢 O
岩 O
、 O
辉 O
绿 O
玢 O
岩 O
等 O
脉 O
体 O
。 O
﻿

当前为第15条语料，且该条语料无标注实体。
2 O
矿 O
床 O
地 O
质 O
矿 O
体 O
赋 O
存 O
于 O
上 O
侏 O
罗 O
统 O
塔 O
木 O
兰 O
沟 O
组 O
安 O
山 O
岩 O
、 O
安 O
山 O
质 O
火 O
山 O
角 O
砾 O
岩 O
, O
受 O
一 O
组 O
北 O
西 O
向 O
雁 O
行 O
式 O
张 O
性 O
断 O
裂 O
控 O
制 O
, O
载 O
矿 O
岩 O
石 O
主 O
要 O
为 O
脉 O
石 O
英 O
, O
既 O
石 O
英 O
脉 O
为 O
主 O
矿 O
体 O
, O
次 O
为 O
硅 O
化 O
角 O
砾 O
岩 O
。 O
﻿

当前为第16条语料，且该条语料无标注实体。
沿 O
走 O
向 O
和 O
倾 O
向 O
有 O
膨 O
胀 O
和 O
狭 O
缩 O
现 O
象 O
。 O
﻿

当前为第17条语料，且该条语料无标注实体。
矿 O
体 O
呈 O
北 O
西 O
走 O
向 O
, O
明 O
显 O
受 O
控 O
于 O
北 O
西 O
向 O
断 O
裂 O
, O
倾 O
角 O
6 O
0 O
° O
~ O
7 O
0 O
° O
, O
向 O
下 O
最 O
大 O
延 O
伸 O
达 O
1 O
8 O
0 O
m O
, O
厚 O
度 O
不 O
稳 O
定 O
, O
最 O
大 O
厚 O
度 O
1 O
0 O
. O
2 O
m O
, O
最 O
小 O
1 O
. O
6 O
3 O
m O
。 O
﻿

当前为第18条语料，且该条语料无标注实体。
矿 O
产 O
资 O
源 O
量 O
5 O
. O
7 O
吨 O
, O
矿 O
床 O
品 O
位 O
8 O
. O
4 O
3 O
g O
/ O
t O
。 O
﻿

当前为第19条语料，且该条语料无标注实体。
矿 O
石 O
中 O
非 O
金 O
属 O
矿 O
物 O
有 O
石 O
英 O
、 O
长 O
石 O
、 O
高 O
岭 O
石 O
、 O
绢 O
云 O
母 O
、 O
绿 O
泥 O
石 O
和 O
方 O
解 O
石 O
等 O
, O
多 O
金 O
属 O
矿 O
物 O
主 O
要 O
为 O
黄 O
铁 O
矿 O
、 O
磁 O
铁 O
矿 O
、 O
赤 O
铁 O
矿 O
, O
黄 O
铜 O
矿 O
、 O
闪 O
锌 O
矿 O
、 O
方 O
铅 O
矿 O
、 O
毒 O
砂 O
、 O
自 O
然 O
金 O
、 O
银 O
金 O
矿 O
、 O
辉 O
银 O
矿 O
和 O
自 O
然 O
银 O
。 O
﻿

当前为第20条语料，且该条语料无标注实体。
矿 O
石 O
结 O
构 O
主 O
要 O
有 O
自 O
形 O
晶 O
结 O
构 O
、 O
半 O
自 O
形 O
晶 O
结 O
构 O
、 O
它 O
形 O
晶 O
结 O
构 O
、 O
交 O
代 O
结 O
构 O
、 O
包 O
含 O
结 O
构 O
、 O
乳 O
滴 O
结 O
构 O
、 O
碎 O
裂 O
结 O
构 O
。 O
﻿

当前为第21条语料，且该条语料无标注实体。
构 O
造 O
主 O
要 O
为 O
致 O
密 O
块 O
状 O
构 O
造 O
、 O
浸 O
染 O
状 O
构 O
造 O
、 O
细 O
( O
网 O
) O
脉 O
状 O
构 O
造 O
、 O
显 O
微 O
细 O
脉 O
浸 O
染 O
状 O
构 O
造 O
、 O
梳 O
状 O
构 O
造 O
、 O
晶 O
簇 O
状 O
构 O
造 O
、 O
角 O
砾 O
状 O
构 O
造 O
等 O
。 O
﻿

当前为第22条语料，且该条语料无标注实体。
矿 O
化 O
期 O
次 O
划 O
分 O
为 O
三 O
个 O
阶 O
段 O
, O
第 O
一 O
阶 O
段 O
为 O
石 O
英 O
- O
黄 O
铁 O
矿 O
阶 O
段 O
, O
主 O
要 O
形 O
成 O
石 O
英 O
、 O
黄 O
铁 O
矿 O
、 O
磁 O
铁 O
矿 O
等 O
, O
是 O
形 O
成 O
石 O
英 O
脉 O
的 O
主 O
体 O
阶 O
段 O
, O
第 O
二 O
阶 O
段 O
为 O
石 O
英 O
- O
金 O
- O
多 O
金 O
属 O
阶 O
段 O
, O
为 O
主 O
要 O
金 O
矿 O
化 O
阶 O
段 O
。 O
﻿

当前为第23条语料，且该条语料无标注实体。
第 O
三 O
阶 O
段 O
为 O
石 O
英 O
- O
碳 O
酸 O
盐 O
阶 O
段 O
, O
主 O
要 O
生 O
成 O
方 O
解 O
石 O
、 O
石 O
英 O
、 O
褐 O
铁 O
矿 O
等 O
矿 O
物 O
, O
为 O
无 O
矿 O
化 O
阶 O
段 O
。 O
﻿

当前为第24条语料，且该条语料无标注实体。
3 O
地 O
球 O
化 O
学 O
特 O
征 O
3 O
. O
1 O
稀 O
土 O
元 O
素 O
特 O
征 O
由 O
表 O
1 O
可 O
见 O
如 O
下 O
规 O
律 O
: O
安 O
山 O
岩 O
的 O
稀 O
土 O
元 O
素 O
总 O
量 O
最 O
高 O
, O
为 O
9 O
4 O
. O
5 O
6 O
× O
1 O
0 O
- O
6 O
~ O
1 O
1 O
9 O
. O
7 O
1 O
× O
1 O
0 O
- O
6 O
, O
硅 O
化 O
安 O
山 O
岩 O
稀 O
土 O
总 O
量 O
次 O
之 O
, O
为 O
4 O
5 O
. O
4 O
9 O
× O
1 O
0 O
- O
6 O
~ O
7 O
5 O
. O
3 O
× O
1 O
0 O
- O
6 O
, O
含 O
金 O
石 O
英 O
脉 O
的 O
稀 O
土 O
总 O
量 O
最 O
低 O
, O
为 O
8 O
. O
7 O
2 O
× O
1 O
0 O
- O
6 O
~ O
1 O
2 O
. O
2 O
4 O
× O
1 O
0 O
- O
6 O
。 O
﻿

当前为第25条语料，且该条语料无标注实体。
δ O
E O
u O
安 O
山 O
岩 O
显 O
示 O
弱 O
的 O
负 O
铕 O
异 O
常 O
, O
硅 O
化 O
安 O
山 O
岩 O
、 O
含 O
金 O
石 O
英 O
脉 O
呈 O
显 O
著 O
正 O
铕 O
异 O
常 O
, O
且 O
含 O
金 O
石 O
英 O
脉 O
出 O
现 O
一 O
高 O
正 O
铕 O
异 O
常 O
, O
从 O
安 O
山 O
岩 O
经 O
蚀 O
变 O
安 O
山 O
岩 O
到 O
含 O
金 O
石 O
英 O
脉 O
, O
δ O
C O
e O
逐 O
渐 O
降 O
低 O
。 O
﻿

当前为第26条语料。
三 B-LOC
道 I-LOC
湾 I-LOC
子 I-LOC
矿 I-LOC
区 I-LOC
含 O
金 O
石 O
英 O
脉 O
矿 O
体 O
与 O
围 O
岩 O
安 O
山 O
岩 O
铅 O
同 O
位 O
素 O
组 O
成 O
基 O
本 O
一 O
致 O
, O
变 O
化 O
范 O
围 O
很 O
小 O
( O
表 O
3 O
) O
, O
说 O
明 O
它 O
们 O
铅 O
源 O
相 O
同 O
, O
暗 O
示 O
成 O
矿 O
物 O
质 O
来 O
源 O
于 O
岩 O
浆 O
, O
可 O
能 O
主 O
要 O
来 O
自 O
围 O
岩 O
火 O
山 O
地 O
层 O
。 O
﻿

当前为第27条语料，且该条语料无标注实体。
此 O
外 O
, O
与 O
阿 O
尔 O
卑 O
期 O
( O
2 O
5 O
~ O
1 O
8 O
0 O
M O
a O
) O
岩 O
浆 O
岩 O
铅 O
同 O
位 O
素 O
比 O
值 O
( O
2 O
0 O
6 O
P O
b O
/ O
2 O
0 O
4 O
P O
b O
= O
1 O
8 O
. O
2 O
2 O
~ O
1 O
8 O
. O
4 O
5 O
, O
2 O
0 O
7 O
P O
b O
/ O
2 O
0 O
4 O
P O
b O
= O
1 O
5 O
. O
5 O
7 O
1 O
~ O
1 O
5 O
. O
6 O
4 O
, O
2 O
0 O
8 O
P O
b O
/ O
2 O
0 O
4 O
P O
b O
= O
3 O
8 O
. O
2 O
2 O
~ O
3 O
8 O
. O
3 O
7 O
) O
( O
梁 O
一 O
鸿 O
, O
2 O
0 O
0 O
4 O
) O
十 O
分 O
相 O
近 O
。 O
﻿

当前为第28条语料，且该条语料无标注实体。
4 O
构 O
造 O
环 O
境 O
及 O
控 O
矿 O
模 O
式 O
对 O
于 O
中 O
低 O
温 O
脉 O
状 O
金 O
矿 O
床 O
的 O
成 O
矿 O
构 O
造 O
背 O
景 O
, O
目 O
前 O
存 O
在 O
两 O
种 O
主 O
要 O
认 O
识 O
( O
李 O
晶 O
等 O
, O
2 O
0 O
0 O
4 O
) O
: O
( O
1 O
) O
矿 O
床 O
形 O
成 O
于 O
造 O
山 O
过 O
程 O
。 O
﻿

当前为第29条语料，且该条语料无标注实体。
( O
2 O
) O
矿 O
床 O
形 O
成 O
于 O
造 O
山 O
后 O
。 O
﻿

当前为第30条语料，且该条语料无标注实体。
晚 O
侏 O
罗 O
世 O
大 O
规 O
模 O
岩 O
浆 O
作 O
用 O
使 O
研 O
究 O
区 O
普 O
遍 O
发 O
育 O
中 O
基 O
性 O
- O
中 O
酸 O
性 O
火 O
山 O
岩 O
, O
其 O
受 O
N O
W O
向 O
断 O
裂 O
控 O
制 O
明 O
显 O
, O
其 O
物 O
质 O
来 O
源 O
于 O
上 O
地 O
幔 O
。 O
﻿

当前为第31条语料，且该条语料无标注实体。
大 O
兴 O
安 O
岭 O
晚 O
侏 O
罗 O
世 O
火 O
山 O
岩 O
主 O
要 O
形 O
成 O
于 O
伸 O
展 O
构 O
造 O
背 O
景 O
。 O
﻿

当前为第32条语料，且该条语料无标注实体。
金 O
矿 O
体 O
与 O
围 O
岩 O
铅 O
同 O
位 O
素 O
均 O
投 O
影 O
于 O
造 O
山 O
带 O
与 O
地 O
幔 O
演 O
化 O
线 O
之 O
间 O
( O
图 O
3 O
) O
, O
表 O
明 O
矿 O
体 O
与 O
围 O
岩 O
为 O
同 O
一 O
源 O
区 O
的 O
构 O
造 O
环 O
境 O
。 O
﻿

当前为第33条语料，且该条语料无标注实体。
另 O
外 O
, O
北 O
西 O
向 O
基 O
底 O
断 O
裂 O
控 O
制 O
着 O
晚 O
侏 O
罗 O
世 O
塔 O
木 O
兰 O
沟 O
期 O
火 O
山 O
岩 O
浆 O
的 O
喷 O
发 O
与 O
定 O
位 O
, O
表 O
现 O
出 O
张 O
扭 O
性 O
特 O
点 O
, O
是 O
该 O
期 O
的 O
主 O
体 O
控 O
岩 O
控 O
矿 O
断 O
裂 O
( O
李 O
仰 O
春 O
等 O
, O
2 O
0 O
0 O
5 O
) O
。 O
﻿

当前为第34条语料，且该条语料无标注实体。
可 O
见 O
矿 O
体 O
与 O
围 O
岩 O
安 O
山 O
岩 O
同 O
形 O
成 O
于 O
造 O
山 O
过 O
程 O
中 O
的 O
伸 O
展 O
构 O
造 O
环 O
境 O
。 O
﻿

当前为第35条语料，且该条语料无标注实体。
一 O
般 O
认 O
为 O
, O
大 O
型 O
剪 O
切 O
断 O
裂 O
带 O
旁 O
侧 O
的 O
次 O
级 O
断 O
裂 O
起 O
着 O
传 O
递 O
含 O
矿 O
热 O
液 O
的 O
作 O
用 O
, O
成 O
为 O
配 O
矿 O
、 O
容 O
矿 O
构 O
造 O
。 O
﻿

当前为第36条语料，且该条语料无标注实体。
矿 O
区 O
沿 O
主 O
控 O
矿 O
断 O
裂 O
发 O
育 O
一 O
系 O
列 O
次 O
级 O
断 O
裂 O
, O
是 O
矿 O
区 O
矿 O
体 O
的 O
容 O
矿 O
构 O
造 O
, O
次 O
级 O
断 O
裂 O
在 O
深 O
部 O
向 O
主 O
断 O
裂 O
收 O
敛 O
。 O
﻿

当前为第37条语料，且该条语料无标注实体。
本 O
区 O
次 O
级 O
断 O
裂 O
主 O
要 O
表 O
现 O
出 O
北 O
西 O
向 O
, O
一 O
方 O
面 O
表 O
现 O
出 O
矿 O
体 O
石 O
英 O
脉 O
呈 O
北 O
西 O
走 O
向 O
, O
另 O
一 O
方 O
面 O
矿 O
区 O
脉 O
岩 O
长 O
轴 O
指 O
向 O
北 O
西 O
。 O
﻿

当前为第38条语料，且该条语料无标注实体。
在 O
次 O
级 O
断 O
裂 O
中 O
, O
工 O
业 O
矿 O
体 O
在 O
平 O
面 O
上 O
断 O
续 O
相 O
连 O
, O
局 O
部 O
产 O
出 O
, O
向 O
深 O
部 O
有 O
可 O
能 O
进 O
入 O
主 O
断 O
裂 O
( O
图 O
4 O
) O
。 O
﻿

当前为第39条语料，且该条语料无标注实体。
模 O
式 O
图 O
体 O
现 O
了 O
内 O
生 O
金 O
矿 O
床 O
主 O
要 O
受 O
断 O
裂 O
构 O
造 O
的 O
控 O
制 O
, O
金 O
矿 O
勘 O
查 O
工 O
作 O
应 O
沿 O
区 O
域 O
性 O
大 O
断 O
裂 O
开 O
展 O
, O
不 O
仅 O
对 O
区 O
域 O
性 O
大 O
断 O
裂 O
某 O
些 O
有 O
利 O
构 O
造 O
部 O
位 O
预 O
测 O
, O
同 O
时 O
对 O
次 O
级 O
断 O
裂 O
金 O
矿 O
床 O
进 O
行 O
评 O
价 O
。 O
﻿

当前为第40条语料，且该条语料无标注实体。
5 O
结 O
论 O
( O
1 O
) O
围 O
岩 O
安 O
山 O
岩 O
显 O
示 O
负 O
铕 O
异 O
常 O
, O
而 O
成 O
矿 O
流 O
体 O
作 O
用 O
使 O
蚀 O
变 O
安 O
山 O
岩 O
和 O
含 O
金 O
石 O
英 O
脉 O
显 O
示 O
正 O
铕 O
异 O
常 O
, O
因 O
此 O
正 O
铕 O
异 O
常 O
可 O
作 O
为 O
金 O
矿 O
床 O
的 O
地 O
球 O
化 O
学 O
找 O
矿 O
标 O
志 O
之 O
一 O
。 O
﻿

当前为第41条语料，且该条语料无标注实体。
( O
2 O
) O
与 O
成 O
矿 O
有 O
关 O
的 O
岩 O
浆 O
作 O
用 O
发 O
生 O
在 O
造 O
山 O
过 O
程 O
的 O
伸 O
展 O
构 O
造 O
背 O
景 O
, O
岩 O
浆 O
来 O
自 O
深 O
部 O
。 O
﻿

当前为第42条语料，且该条语料无标注实体。
岩 O
浆 O
为 O
成 O
矿 O
物 O
质 O
的 O
运 O
移 O
和 O
流 O
体 O
的 O
循 O
环 O
提 O
供 O
了 O
热 O
能 O
。 O
﻿

当前为第43条语料，且该条语料无标注实体。
( O
3 O
) O
金 O
成 O
矿 O
流 O
体 O
具 O
有 O
岩 O
浆 O
热 O
液 O
的 O
特 O
征 O
, O
成 O
矿 O
物 O
质 O
和 O
流 O
体 O
主 O
要 O
来 O
自 O
上 O
地 O
幔 O
, O
或 O
者 O
来 O
自 O
围 O
岩 O
火 O
山 O
岩 O
, O
拟 O
或 O
来 O
自 O
深 O
部 O
的 O
成 O
矿 O
流 O
体 O
与 O
围 O
岩 O
火 O
山 O
岩 O
由 O
强 O
烈 O
的 O
物 O
质 O
交 O
换 O
, O
总 O
体 O
受 O
岩 O
浆 O
控 O
制 O
。 O
