当前为第1条语料。
鸡 B-LOC
0 O
1 O
9 O
~ O
0 O
2 O
1 O
线 O
0 O
~ O
1 O
0 O
0 O
m O
之 O
间 O
, O
主 O
要 O
为 O
粉 O
砂 O
质 O
粘 O
土 O
岩 O
、 O
石 O
英 O
粉 O
砂 O
岩 O
、 O
碎 O
屑 O
岩 O
等 O
, O
局 O
部 O
变 O
质 O
为 O
角 O
岩 O
。 O
﻿

当前为第14条语料，且该条语料无标注实体。
底 O
部 O
夹 O
有 O
灰 O
岩 O
和 O
大 O
理 O
岩 O
透 O
镜 O
体 O
, O
本 O
组 O
未 O
见 O
顶 O
, O
伪 O
厚 O
大 O
于 O
6 O
0 O
m O
。 O
﻿

当前为第15条语料，且该条语料无标注实体。
( O
4 O
) O
白 O
垩 O
系 O
下 O
统 O
马 O
架 O
山 O
组 O
。 O
﻿

当前为第16条语料，且该条语料无标注实体。
不 O
整 O
合 O
覆 O
盖 O
于 O
三 O
叠 O
系 O
及 O
各 O
类 O
岩 O
浆 O
岩 O
之 O
上 O
。 O
﻿

当前为第17条语料，且该条语料无标注实体。
厚 O
度 O
大 O
, O
岩 O
性 O
复 O
杂 O
, O
主 O
要 O
为 O
火 O
山 O
沉 O
积 O
角 O
砾 O
岩 O
、 O
以 O
及 O
角 O
砾 O
凝 O
灰 O
岩 O
、 O
杂 O
砂 O
岩 O
、 O
双 O
屑 O
凝 O
灰 O
岩 O
、 O
凝 O
灰 O
质 O
粉 O
砂 O
岩 O
、 O
粉 O
砂 O
质 O
粘 O
土 O
岩 O
等 O
组 O
成 O
。 O
﻿

当前为第18条语料，且该条语料无标注实体。
本 O
组 O
未 O
见 O
底 O
, O
伪 O
厚 O
大 O
于 O
4 O
0 O
0 O
m O
。 O
﻿

当前为第19条语料，且该条语料无标注实体。
( O
5 O
) O
白 O
垩 O
系 O
下 O
统 O
灵 O
乡 O
组 O
。 O
﻿

当前为第20条语料，且该条语料无标注实体。
本 O
组 O
为 O
喷 O
发 O
相 O
与 O
间 O
歇 O
相 O
岩 O
石 O
相 O
间 O
构 O
成 O
。 O
﻿

当前为第21条语料，且该条语料无标注实体。
喷 O
发 O
相 O
岩 O
石 O
为 O
中 O
基 O
性 O
熔 O
岩 O
~ O
安 O
玄 O
岩 O
, O
伪 O
厚 O
1 O
2 O
~ O
5 O
2 O
m O
, O
间 O
歇 O
相 O
为 O
陆 O
源 O
碎 O
屑 O
岩 O
~ O
紫 O
红 O
色 O
细 O
砂 O
岩 O
、 O
粉 O
砂 O
岩 O
、 O
粉 O
砂 O
质 O
粘 O
土 O
岩 O
、 O
砂 O
质 O
岩 O
等 O
, O
伪 O
厚 O
9 O
~ O
5 O
0 O
m O
, O
与 O
下 O
伏 O
地 O
层 O
呈 O
喷 O
发 O
不 O
整 O
合 O
接 O
触 O
。 O
﻿

当前为第22条语料，且该条语料无标注实体。
( O
6 O
) O
第 O
四 O
系 O
。 O
﻿

当前为第23条语料，且该条语料无标注实体。
矿 O
区 O
北 O
部 O
为 O
湖 O
积 O
与 O
冲 O
洪 O
积 O
层 O
。 O
﻿

当前为第24条语料，且该条语料无标注实体。
南 O
部 O
为 O
冲 O
积 O
、 O
冲 O
洪 O
积 O
层 O
及 O
残 O
坡 O
积 O
层 O
, O
岩 O
性 O
为 O
亚 O
粘 O
土 O
、 O
亚 O
砂 O
土 O
、 O
砂 O
砾 O
石 O
、 O
碎 O
石 O
等 O
, O
厚 O
2 O
~ O
1 O
5 O
m O
。 O
﻿

当前为第25条语料，且该条语料无标注实体。
1 O
. O
2 O
构 O
造 O
根 O
据 O
矿 O
产 O
开 O
发 O
揭 O
露 O
以 O
及 O
构 O
造 O
灰 O
度 O
研 O
究 O
, O
对 O
矿 O
体 O
构 O
造 O
认 O
识 O
如 O
下 O
: O
( O
1 O
) O
褶 O
皱 O
。 O
﻿

当前为第26条语料，且该条语料无标注实体。
矿 O
体 O
所 O
在 O
矿 O
区 O
见 O
有 O
轴 O
部 O
大 O
致 O
平 O
行 O
的 O
两 O
个 O
隐 O
伏 O
背 O
斜 O
和 O
一 O
个 O
隐 O
伏 O
向 O
斜 O
, O
分 O
布 O
于 O
0 O
1 O
5 O
~ O
2 O
6 O
线 O
范 O
围 O
内 O
。 O
﻿

当前为第27条语料，且该条语料无标注实体。
轴 O
向 O
北 O
西 O
6 O
7 O
° O
。 O
﻿

当前为第28条语料，且该条语料无标注实体。
该 O
复 O
式 O
背 O
向 O
斜 O
两 O
翼 O
为 O
对 O
称 O
的 O
两 O
个 O
背 O
斜 O
, O
地 O
层 O
受 O
剥 O
蚀 O
和 O
岩 O
浆 O
吞 O
噬 O
出 O
露 O
不 O
全 O
, O
仅 O
在 O
0 O
1 O
9 O
线 O
北 O
东 O
翼 O
及 O
0 O
2 O
1 O
线 O
的 O
南 O
西 O
翼 O
见 O
有 O
陆 O
水 O
河 O
组 O
和 O
蒲 O
圻 O
群 O
地 O
层 O
。 O
﻿

当前为第29条语料，且该条语料无标注实体。
隐 O
伏 O
向 O
斜 O
主 O
要 O
见 O
于 O
0 O
1 O
7 O
~ O
0 O
2 O
1 O
线 O
, O
长 O
约 O
3 O
5 O
0 O
m O
, O
核 O
部 O
为 O
蒲 O
圻 O
群 O
地 O
层 O
组 O
成 O
, O
两 O
翼 O
为 O
陆 O
水 O
河 O
组 O
地 O
层 O
。 O
﻿

当前为第30条语料，且该条语料无标注实体。
矿 O
区 O
主 O
体 O
褶 O
皱 O
构 O
造 O
为 O
北 O
北 O
东 O
向 O
隐 O
伏 O
背 O
斜 O
, O
该 O
背 O
斜 O
横 O
贯 O
矿 O
区 O
, O
南 O
起 O
0 O
2 O
8 O
线 O
, O
向 O
北 O
至 O
0 O
1 O
3 O
线 O
附 O
近 O
倾 O
没 O
, O
长 O
约 O
9 O
0 O
0 O
m O
, O
宽 O
2 O
0 O
0 O
~ O
6 O
0 O
0 O
m O
。 O
﻿

当前为第31条语料，且该条语料无标注实体。
轴 O
向 O
约 O
3 O
0 O
° O
, O
倾 O
角 O
约 O
7 O
5 O
~ O
8 O
0 O
° O
。 O
﻿

当前为第32条语料，且该条语料无标注实体。
由 O
于 O
强 O
烈 O
的 O
岩 O
浆 O
活 O
动 O
, O
背 O
斜 O
核 O
部 O
地 O
层 O
已 O
被 O
岩 O
浆 O
岩 O
吞 O
蚀 O
殆 O
尽 O
, O
其 O
南 O
东 O
翼 O
, O
仅 O
在 O
0 O
2 O
1 O
、 O
0 O
2 O
4 O
与 O
0 O
2 O
6 O
线 O
见 O
其 O
残 O
存 O
部 O
分 O
, O
北 O
西 O
翼 O
相 O
对 O
保 O
持 O
完 O
整 O
, O
该 O
背 O
斜 O
横 O
跨 O
叠 O
置 O
于 O
三 O
个 O
北 O
西 O
向 O
隐 O
伏 O
褶 O
曲 O
之 O
上 O
。 O
﻿

当前为第33条语料，且该条语料无标注实体。
( O
2 O
) O
断 O
裂 O
。 O
﻿

当前为第34条语料，且该条语料无标注实体。
矿 O
区 O
发 O
育 O
有 O
北 O
北 O
东 O
向 O
、 O
北 O
东 O
东 O
向 O
和 O
近 O
东 O
西 O
向 O
、 O
北 O
西 O
向 O
4 O
组 O
断 O
裂 O
, O
其 O
中 O
北 O
北 O
东 O
向 O
和 O
矿 O
床 O
关 O
系 O
最 O
为 O
密 O
切 O
。 O
﻿

当前为第35条语料。
北 O
北 O
东 O
向 O
断 O
裂 O
( O
F O
1 O
) O
是 O
北 O
1 O
0 O
° O
东 O
左 O
右 O
的 O
方 O
向 O
波 O
状 O
延 O
伸 O
, O
倾 O
向 O
北 O
西 O
, O
倾 O
角 O
7 O
5 O
° O
以 O
上 O
, O
为 O
一 O
东 O
盘 O
北 O
移 O
, O
西 O
盘 O
南 O
推 O
具 O
压 O
扭 O
性 O
质 O
的 O
逆 O
断 O
层 O
, O
以 O
断 O
裂 O
破 O
碎 O
带 O
的 O
形 O
式 O
出 O
现 O
, O
具 O
有 O
多 O
期 O
活 O
动 O
的 O
特 O
点 O
。 O
F O
1 O
断 O
裂 O
带 O
北 O
段 O
东 O
侧 O
的 O
次 O
一 O
级 O
斜 O
引 O
压 O
扭 O
性 O
断 O
裂 O
与 O
鸡 O
冠 O
嘴 O
捕 O
虏 O
体 O
接 O
触 O
构 O
造 O
相 O
复 O
合 O
, O
形 O
成 O
规 O
模 O
较 O
大 O
的 O
断 O
裂 O
接 O
触 O
复 O
合 O
带 O
和 O
层 O
闪 O
构 O
造 O
破 O
碎 O
带 O
, O
成 O
为 O
矿 O
液 O
的 O
通 O
道 O
和 O
填 O
充 O
的 O
空 O
间 O
, O
控 O
制 O
了 O
鸡 B-LOC
冠 I-LOC
嘴 I-LOC
铜 B-MT
金 I-MT
矿 I-MT
床 I-MT
Ⅰ B-MB
、 O
Ⅱ B-MB
、 O
Ⅲ B-MB
号 I-MB
矿 I-MB
体 I-MB
( O
群 O
) O
。 O
1 O
. O
3 O
岩 O
浆 O
岩 O
矿 O
区 O
岩 O
浆 O
属 O
阳 O
新 O
复 O
式 O
岩 O
体 O
西 O
北 O
段 O
铜 O
绿 O
山 O
石 O
英 O
正 O
长 O
闪 O
长 O
玢 O
岩 O
的 O
岩 O
株 O
体 O
一 O
部 O
分 O
。 O
﻿

当前为第36条语料，且该条语料无标注实体。
岩 O
体 O
侵 O
入 O
最 O
新 O
地 O
层 O
为 O
中 O
至 O
上 O
三 O
叠 O
统 O
蒲 O
圻 O
群 O
, O
岩 O
石 O
类 O
型 O
有 O
石 O
英 O
正 O
长 O
闪 O
长 O
玢 O
岩 O
、 O
石 O
英 O
闪 O
长 O
岩 O
、 O
闪 O
长 O
岩 O
和 O
安 O
山 O
玢 O
岩 O
。 O
﻿

当前为第36条语料，且该条语料无标注实体。
岩 O
体 O
侵 O
入 O
最 O
新 O
地 O
层 O
为 O
中 O
至 O
上 O
三 O
叠 O
统 O
蒲 O
圻 O
群 O
, O
岩 O
石 O
类 O
型 O
有 O
石 O
英 O
正 O
长 O
闪 O
长 O
玢 O
岩 O
、 O
石 O
英 O
闪 O
长 O
岩 O
、 O
闪 O
长 O
岩 O
和 O
安 O
山 O
玢 O
岩 O
。 O
﻿

当前为第37条语料，且该条语料无标注实体。
根 O
据 O
区 O
域 O
岩 O
浆 O
岩 O
的 O
研 O
究 O
成 O
果 O
资 O
料 O
, O
石 O
英 O
正 O
长 O
闪 O
长 O
玢 O
岩 O
和 O
石 O
英 O
闪 O
长 O
岩 O
为 O
燕 O
山 O
早 O
期 O
第 O
三 O
次 O
侵 O
入 O
活 O
动 O
的 O
产 O
物 O
, O
两 O
者 O
呈 O
相 O
变 O
关 O
系 O
。 O
﻿

当前为第38条语料，且该条语料无标注实体。
燕 O
山 O
晚 O
期 O
第 O
一 O
次 O
侵 O
入 O
活 O
动 O
形 O
成 O
闪 O
长 O
岩 O
、 O
安 O
山 O
玢 O
岩 O
。 O
﻿

当前为第39条语料。
与 O
鸡 B-LOC
冠 I-LOC
嘴 I-LOC
矿 I-LOC
床 I-LOC
关 O
系 O
密 O
切 O
的 O
主 O
要 O
有 O
石 O
英 O
正 O
长 O
闪 O
长 O
玢 O
岩 O
和 O
石 O
英 O
闪 O
长 O
岩 O
。 O
﻿

当前为第40条语料，且该条语料无标注实体。
( O
1 O
) O
石 O
英 O
正 O
长 O
闪 O
长 O
玢 O
岩 O
。 O
﻿

当前为第41条语料，且该条语料无标注实体。
分 O
布 O
广 O
泛 O
, O
岩 O
石 O
呈 O
灰 O
色 O
。 O
﻿

当前为第42条语料。
具 O
斑 O
状 O
结 O
构 O
, O
基 O
质 O
具 O
等 O
粒 O
花 O
岗 O
结 O
构 O
, O
斑 O
晶 O
主 O
要 O
为 O
斜 O
长 O
石 O
、 O
少 O
量 O
石 O
英 O
, O
与 O
Ⅱ B-MB
Ⅲ B-MB
号 I-MB
矿 I-MB
体 I-MB
( O
群 O
) O
关 O
系 O
密 O
切 O
。 O
﻿

当前为第43条语料，且该条语料无标注实体。
( O
2 O
) O
石 O
英 O
闪 O
长 O
岩 O
。 O
﻿

当前为第44条语料。
呈 O
浅 O
灰 O
~ O
深 O
灰 O
色 O
, O
具 O
不 O
等 O
粒 O
花 O
岗 O
结 O
构 O
, O
石 O
英 O
、 O
钾 O
长 O
石 O
呈 O
它 O
形 O
晶 O
充 O
填 O
于 O
斜 O
长 O
石 O
、 O
角 O
闪 O
石 O
间 O
隙 O
, O
与 O
Ⅰ B-MB
号 I-MB
矿 I-MB
体 I-MB
( O
群 O
) O
关 O
系 O
密 O
切 O
。 O
﻿

当前为第45条语料，且该条语料无标注实体。
1 O
. O
4 O
接 O
触 O
变 O
质 O
作 O
用 O
及 O
围 O
岩 O
蚀 O
变 O
岩 O
浆 O
侵 O
入 O
使 O
三 O
叠 O
系 O
发 O
生 O
不 O
同 O
程 O
度 O
的 O
热 O
力 O
变 O
质 O
作 O
用 O
, O
使 O
碳 O
酸 O
盐 O
岩 O
类 O
岩 O
石 O
变 O
质 O
为 O
大 O
理 O
岩 O
类 O
岩 O
石 O
, O
而 O
铝 O
硅 O
酸 O
盐 O
的 O
碎 O
屑 O
岩 O
则 O
变 O
质 O
微 O
弱 O
, O
仅 O
局 O
部 O
角 O
岩 O
化 O
。 O
﻿

当前为第46条语料，且该条语料无标注实体。
热 O
液 O
蚀 O
变 O
作 O
用 O
指 O
岩 O
浆 O
期 O
后 O
热 O
液 O
沿 O
碳 O
酸 O
盐 O
岩 O
内 O
的 O
构 O
造 O
薄 O
弱 O
带 O
进 O
行 O
单 O
向 O
渗 O
滤 O
交 O
代 O
, O
形 O
成 O
矽 O
卡 O
岩 O
。 O
﻿

当前为第47条语料，且该条语料无标注实体。
热 O
液 O
蚀 O
变 O
作 O
用 O
是 O
成 O
矿 O
的 O
重 O
要 O
标 O
志 O
。 O
﻿

当前为第48条语料，且该条语料无标注实体。
与 O
金 O
铜 O
矿 O
化 O
密 O
切 O
的 O
蚀 O
变 O
作 O
用 O
有 O
碳 O
酸 O
盐 O
化 O
和 O
硅 O
化 O
, O
另 O
外 O
有 O
粘 O
土 O
化 O
, O
包 O
括 O
绢 O
云 O
母 O
化 O
、 O
蒙 O
脱 O
石 O
化 O
、 O
高 O
岭 O
石 O
化 O
和 O
绿 O
泥 O
石 O
化 O
、 O
透 O
闪 O
石 O
化 O
、 O
蛇 O
纹 O
石 O
化 O
等 O
。 O
﻿

当前为第49条语料，且该条语料无标注实体。
1 O
. O
5 O
矿 O
体 O
基 O
本 O
特 O
征 O
各 O
主 O
要 O
矿 O
体 O
剖 O
面 O
平 O
均 O
厚 O
度 O
1 O
. O
8 O
5 O
~ O
2 O
7 O
. O
7 O
2 O
m O
, O
走 O
向 O
长 O
通 O
常 O
为 O
1 O
0 O
0 O
~ O
6 O
7 O
0 O
m O
, O
倾 O
向 O
延 O
伸 O
通 O
常 O
9 O
0 O
~ O
3 O
2 O
5 O
m O
, O
走 O
向 O
一 O
般 O
为 O
北 O
东 O
3 O
5 O
~ O
7 O
2 O
° O
。 O
﻿

当前为第50条语料，且该条语料无标注实体。
各 O
矿 O
体 O
( O
群 O
) O
分 O
布 O
在 O
北 O
北 O
东 O
向 O
横 O
跨 O
背 O
斜 O
的 O
两 O
翼 O
, O
其 O
空 O
间 O
展 O
布 O
纵 O
向 O
上 O
表 O
现 O
为 O
自 O
北 O
向 O
南 O
由 O
浅 O
而 O
深 O
侧 O
列 O
, O
在 O
横 O
向 O
上 O
呈 O
雁 O
行 O
式 O
斜 O
列 O
。 O
﻿

当前为第51条语料。
Ⅰ B-MB
号 I-MB
矿 I-MB
体 I-MB
群 O
受 O
石 O
英 O
闪 O
长 O
岩 O
与 O
大 O
理 O
岩 O
的 O
接 O
触 O
带 O
和 O
层 O
间 O
破 O
碎 O
带 O
及 O
构 O
造 O
破 O
碎 O
带 O
控 O
制 O
, O
Ⅱ B-MB
号 I-MB
和 I-MB
Ⅲ I-MB
号 I-MB
矿 I-MB
体 I-MB
( O
群 O
) O
受 O
岩 O
株 O
和 O
大 O
理 O
岩 O
的 O
层 O
间 O
破 O
碎 O
带 O
控 O
制 O
。 O
2 O
矿 O
体 O
和 O
地 O
层 O
之 O
间 O
的 O
关 O
系 O
( O
1 O
) O
矿 O
体 O
与 O
地 O
层 O
之 O
间 O
的 O
基 O
本 O
关 O
系 O
。 O
鸡 B-LOC
冠 I-LOC
嘴 I-LOC
矿 I-LOC
床 I-LOC
的 O
各 O
矿 O
体 O
( O
群 O
) O
除 O
I B-MB
3 I-MB
矿 I-MB
体 I-MB
一 O
端 O
伸 O
入 O
岩 O
株 O
体 O
之 O
内 O
外 O
, O
其 O
它 O
所 O
有 O
矿 O
体 O
赋 O
存 O
位 O
置 O
都 O
与 O
沉 O
积 O
地 O
层 O
有 O
关 O
, O
大 O
部 O
分 O
赋 O
存 O
于 O
岩 O
浆 O
岩 O
体 O
与 O
地 O
层 O
之 O
间 O
的 O
接 O
触 O
带 O
部 O
位 O
, O
或 O
构 O
造 O
破 O
碎 O
带 O
部 O
位 O
, O
少 O
量 O
赋 O
存 O
于 O
地 O
层 O
间 O
裂 O
隙 O
。 O
﻿

当前为第52条语料，且该条语料无标注实体。
因 O
此 O
, O
矿 O
体 O
与 O
地 O
层 O
密 O
不 O
可 O
分 O
。 O
﻿

当前为第53条语料，且该条语料无标注实体。
( O
2 O
) O
矿 O
体 O
与 O
地 O
层 O
之 O
间 O
的 O
叠 O
加 O
关 O
系 O
。 O
﻿

当前为第54条语料。
鸡 B-LOC
冠 I-LOC
嘴 I-LOC
矿 I-LOC
床 I-LOC
矿 B-MB
体 I-MB
是 O
地 O
层 O
的 O
叠 O
加 O
关 O
系 O
( O
即 O
接 O
触 O
或 O
位 O
置 O
关 O
系 O
) O
, O
主 O
要 O
有 O
3 O
种 O
形 O
式 O
, O
即 O
类 O
似 O
完 O
全 O
不 O
整 O
合 O
关 O
系 O
、 O
断 O
裂 O
充 O
填 O
关 O
系 O
和 O
层 O
间 O
裂 O
隙 O
关 O
系 O
。 O
﻿

当前为第55条语料，且该条语料无标注实体。
① O
1 O
类 O
似 O
完 O
全 O
不 O
整 O
合 O
关 O
系 O
。 O
﻿

当前为第56条语料，且该条语料无标注实体。
即 O
矿 O
体 O
直 O
接 O
赋 O
存 O
于 O
岩 O
浆 O
体 O
与 O
地 O
层 O
的 O
主 O
接 O
触 O
带 O
部 O
位 O
, O
地 O
层 O
已 O
形 O
成 O
多 O
个 O
独 O
立 O
的 O
捕 O
虏 O
体 O
, O
由 O
于 O
岩 O
浆 O
侵 O
入 O
和 O
吞 O
蚀 O
与 O
构 O
造 O
运 O
动 O
, O
地 O
层 O
已 O
不 O
能 O
保 O
持 O
其 O
正 O
常 O
的 O
沉 O
积 O
次 O
序 O
, O
因 O
而 O
矿 O
体 O
与 O
地 O
层 O
捕 O
虏 O
体 O
形 O
成 O
了 O
这 O
种 O
没 O
有 O
世 O
代 O
关 O
系 O
的 O
接 O
触 O
关 O
系 O
, O
赋 O
存 O
于 O
各 O
个 O
不 O
同 O
年 O
代 O
的 O
地 O
层 O
。 O
﻿

当前为第57条语料，且该条语料无标注实体。
② O
断 O
裂 O
充 O
填 O
关 O
系 O
。 O
﻿

当前为第58条语料，且该条语料无标注实体。
在 O
由 O
于 O
成 O
矿 O
期 O
构 O
造 O
运 O
动 O
中 O
, O
各 O
种 O
成 O
矿 O
构 O
造 O
已 O
经 O
对 O
正 O
常 O
的 O
地 O
层 O
形 O
成 O
了 O
破 O
坏 O
或 O
切 O
穿 O
或 O
倒 O
转 O
或 O
倾 O
斜 O
, O
而 O
这 O
种 O
成 O
矿 O
模 O
式 O
下 O
形 O
成 O
的 O
矿 O
体 O
则 O
多 O
为 O
地 O
层 O
之 O
间 O
形 O
成 O
了 O
破 O
碎 O
带 O
充 O
填 O
、 O
断 O
裂 O
错 O
移 O
等 O
各 O
种 O
接 O
触 O
关 O
系 O
。 O
﻿

当前为第59条语料，且该条语料无标注实体。
③ O
由 O
于 O
各 O
年 O
代 O
沉 O
积 O
地 O
层 O
间 O
岩 O
性 O
差 O
异 O
, O
同 O
一 O
地 O
层 O
不 O
同 O
年 O
代 O
岩 O
性 O
也 O
存 O
在 O
差 O
异 O
。 O
﻿

当前为第60条语料，且该条语料无标注实体。
在 O
岩 O
浆 O
侵 O
入 O
吞 O
蚀 O
和 O
构 O
造 O
运 O
动 O
影 O
响 O
下 O
, O
层 O
间 O
或 O
层 O
内 O
构 O
造 O
薄 O
弱 O
面 O
, O
也 O
会 O
形 O
成 O
导 O
矿 O
、 O
储 O
矿 O
空 O
间 O
, O
产 O
生 O
规 O
模 O
矿 O
化 O
, O
也 O
就 O
形 O
成 O
了 O
矿 O
体 O
与 O
地 O
层 O
的 O
这 O
种 O
假 O
整 O
合 O
的 O
接 O
触 O
关 O
系 O
。 O
﻿

当前为第61条语料，且该条语料无标注实体。
3 O
矿 O
体 O
与 O
岩 O
浆 O
岩 O
的 O
关 O
系 O
矿 O
体 O
与 O
燕 O
山 O
早 O
期 O
第 O
三 O
次 O
侵 O
入 O
形 O
成 O
的 O
石 O
英 O
正 O
长 O
闪 O
长 O
玢 O
岩 O
和 O
石 O
英 O
闪 O
长 O
岩 O
有 O
关 O
。 O
﻿

当前为第62条语料。
( O
1 O
) O
I B-MB
号 I-MB
矿 I-MB
体 I-MB
主 O
要 O
与 O
石 O
英 O
闪 O
长 O
岩 O
有 O
关 O
。 O
﻿

当前为第63条语料。
I B-MB
号 I-MB
矿 I-MB
体 I-MB
( O
群 O
) O
3 O
个 O
主 O
要 O
矿 O
体 O
, O
大 O
致 O
平 O
行 O
产 O
出 O
, O
分 O
别 O
赋 O
存 O
于 O
大 O
理 O
岩 O
与 O
石 O
英 O
闪 O
长 O
岩 O
的 O
主 O
接 O
触 O
构 O
造 O
带 O
的 O
内 O
外 O
。 O
﻿

